iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
153,-2729.45,1.32593,-2912.24,-3345.200514,675.4993595,97757.506
154,-2728.79,1.41984,-2911.55,-3344.507054,678.5908286,97758.35125
155,-2728.09,1.51628,-2910.81,-3343.767693,681.5538472,97759.25775
156,-2727.38,1.61286,-2910.07,-3343.016254,684.3655864,97760.16425
157,-2726.7,1.70642,-2909.36,-3342.297864,686.9810595,97761.034
158,-2726.06,1.79243,-2908.69,-3341.619227,689.4262202,97761.85475
159,-2725.44,1.8658,-2908.05,-3340.949605,691.753597,97762.63875
160,-2724.86,1.92137,-2907.44,-3340.307178,693.9451178,97763.386
161,-2724.3,1.95475,-2906.85,-3339.662069,696.063261,97764.10875
162,-2723.6,1.94546,-2906.11,-3338.793188,698.372532,97765.01525
163,-2723.03,1.91219,-2905.5,-3338.054183,700.5084986,97765.7625
164,-2722.56,1.8561,-2905.01,-3337.409723,702.5281862,97766.36275
165,-2722.16,1.7813,-2904.59,-3336.828093,704.50664,97766.87725
166,-2721.8,1.69441,-2904.22,-3336.280652,706.4508469,97767.3305
167,-2721.67,1.60041,-2904.08,-3336.006252,708.1652448,97767.502
168,-2721.49,1.49885,-2903.89,-3335.661341,709.9825372,97767.73475
169,-2721.26,1.39609,-2903.65,-3335.25371,711.9057157,97768.02875
170,-2721.01,1.29651,-2903.39,-3334.825475,713.8709775,97768.34725
171,-2720.77,1.20437,-2903.14,-3334.418603,715.8363086,97768.6535
172,-2720.54,1.12361,-2902.9,-3334.037922,717.7643942,97768.9475
173,-2720.34,1.05574,-2902.7,-3333.709782,719.6396702,97769.1925
174,-2720.18,0.999793,-2902.52,-3333.445246,721.4402324,97769.413
175,-2720.07,0.953705,-2902.41,-3333.254039,723.1347228,97769.54775
176,-2720.02,0.916802,-2902.36,-3333.147582,724.7225227,97769.609
177,-2720.04,0.890164,-2902.37,-3333.139451,726.1792514,97769.59675
178,-2720.08,0.875978,-2902.4,-3333.171073,727.5634885,97769.56
179,-2720.1,0.876365,-2902.42,-3333.196047,728.8892404,97769.5355
180,-2720.08,0.892739,-2902.39,-3333.191605,730.1901081,97769.57225
181,-2720,0.925071,-2902.31,-3333.133212,731.4690565,97769.67025
182,-2719.86,0.971206,-2902.16,-3333.018227,732.7179669,97769.854
183,-2719.65,1.02456,-2901.95,-3332.826336,733.9679984,97770.11125
184,-2719.42,1.0782,-2901.73,-3332.610295,735.1664359,97770.38075
185,-2719.21,1.13103,-2901.52,-3332.417762,736.2656614,97770.638
186,-2719.01,1.1838,-2901.32,-3332.237405,737.2986323,97770.883
187,-2718.87,1.23578,-2901.18,-3332.12958,738.1294656,97771.0545
188,-2718.74,1.28901,-2901.04,-3332.035537,738.9572622,97771.226
189,-2718.63,1.34123,-2900.92,-3331.964757,739.6538357,97771.373
