time,field,initial_residual,final_residual,linear_iterations
93,k,0.0219545,0.000352782,2
94,Ux,0.0118001,0.000177864,2
94,Uy,0.0460367,0.000738771,2
94,p,0.136575,0.00112115,4
94,omega,0.00555168,0.000416114,1
94,k,0.0202146,0.000319805,2
95,Ux,0.0108377,0.000156051,2
95,Uy,0.0434239,0.000698183,2
95,p,0.133335,0.00112266,4
95,omega,0.00539741,0.000396073,1
95,k,0.018867,0.000290452,2
96,Ux,0.0099552,0.000137257,2
96,Uy,0.0408557,0.000652502,2
96,p,0.129863,0.00106257,4
96,omega,0.00518054,0.000370698,1
96,k,0.0177047,0.000262824,2
97,Ux,0.00920615,0.000123,2
97,Uy,0.0383726,0.000597131,2
97,p,0.126704,0.00102143,4
97,omega,0.00488516,0.000346799,1
97,k,0.0166512,0.000237177,2
98,Ux,0.0085059,0.000110945,2
98,Uy,0.0366244,0.000533584,2
98,p,0.123313,0.000983123,4
98,omega,0.00455262,0.000321633,1
98,k,0.0156544,0.000212914,2
99,Ux,0.00781266,0.00010127,2
99,Uy,0.0348815,0.000466553,2
99,p,0.119008,0.000943423,4
99,omega,0.00419941,0.000297333,1
99,k,0.0145851,0.000188319,2
100,Ux,0.00716822,9.33071e-05,2
100,Uy,0.0327744,0.00314392,1
100,p,0.114066,0.000885685,4
100,omega,0.00389933,0.000274877,1
100,k,0.0134868,0.000163502,2
101,Ux,0.00658612,8.71077e-05,2
101,Uy,0.0309127,0.00283698,1
101,p,0.108195,0.000852412,4
101,omega,0.00361264,0.000255297,1
101,k,0.0123675,0.000139539,2
102,Ux,0.0061268,8.23147e-05,2
102,Uy,0.0285731,0.00252129,1
102,p,0.101633,0.000824605,4
102,omega,0.00338128,0.000239002,1
102,k,0.0112083,0.0010879,1
103,Ux,0.00577514,7.78431e-05,2
103,Uy,0.0260064,0.0022285,1
103,p,0.0948999,0.000787067,4
103,omega,0.0032142,0.000225552,1
103,k,0.0102549,0.000962579,1
104,Ux,0.00550686,7.32242e-05,2
104,Uy,0.0236125,0.00200175,1
104,p,0.088122,0.000750469,4
104,omega,0.00306505,0.000214365,1
104,k,0.00934609,0.00084609,1
105,Ux,0.00526707,6.88113e-05,2
105,Uy,0.0217413,0.00186196,1
105,p,0.0820707,0.000702869,4
105,omega,0.00293129,0.000204745,1
105,k,0.00846905,0.000742536,1
106,Ux,0.005042,6.47726e-05,2
106,Uy,0.0201887,0.00174092,1
106,p,0.0772843,0.000652643,4
106,omega,0.00280088,0.000195716,1
106,k,0.00765171,0.000650952,1
107,Ux,0.00479218,6.11728e-05,2
107,Uy,0.0188281,0.00162398,1
107,p,0.0732597,0.000612843,4
107,omega,0.00267766,0.000186261,1
107,k,0.00688886,0.000571492,1
108,Ux,0.00455452,5.7733e-05,2
108,Uy,0.0177914,0.00151488,1
108,p,0.0697913,0.000568255,4
108,omega,0.00256188,0.000176301,1
108,k,0.00619157,0.000504411,1
109,Ux,0.00429849,5.42366e-05,2
109,Uy,0.0171474,0.00141283,1
109,p,0.0667291,0.0005372,4
109,omega,0.00244954,0.000166374,1
109,k,0.00558031,0.000450518,1
110,Ux,0.00400424,5.06957e-05,2
110,Uy,0.0165588,0.00131822,1
110,p,0.0638873,0.000513182,4
110,omega,0.00233638,0.000157121,1
110,k,0.00506285,0.000408985,1
111,Ux,0.00369274,4.74011e-05,2
111,Uy,0.0158875,0.00122123,1
111,p,0.0611858,0.000495114,4
111,omega,0.00221396,0.000147873,1
111,k,0.0046396,0.000377079,1
112,Ux,0.00342333,4.45528e-05,2
112,Uy,0.0150502,0.00112954,1
112,p,0.05832,0.000474372,4
112,omega,0.00208743,0.000138836,1
112,k,0.00430271,0.000353317,1
113,Ux,0.00321572,4.19604e-05,2
113,Uy,0.014242,0.00105647,1
113,p,0.0556087,0.000439726,4
113,omega,0.00196622,0.00013023,1
113,k,0.00403295,0.000335622,1
114,Ux,0.00303158,3.97743e-05,2
114,Uy,0.0135027,0.00100589,1
114,p,0.0526614,0.000411618,4
114,omega,0.00184942,0.000122127,1
114,k,0.00381374,0.000321746,1
115,Ux,0.00287758,3.81136e-05,2
115,Uy,0.0128267,0.000963899,1
115,p,0.0500928,0.000396486,4
115,omega,0.00173688,0.000114515,1
115,k,0.00363341,0.000308606,1
116,Ux,0.00276087,3.68769e-05,2
116,Uy,0.0122611,0.000930826,1
116,p,0.047683,0.000380634,4
116,omega,0.00162855,0.000107406,1
116,k,0.00346334,0.000295587,1
117,Ux,0.00264992,3.57054e-05,2
117,Uy,0.0118251,0.000908323,1
117,p,0.0454573,0.000356854,4
117,omega,0.00152818,0.000100901,1
117,k,0.00329617,0.000282469,1
118,Ux,0.00253475,3.45709e-05,2
118,Uy,0.0113728,0.000886022,1
118,p,0.0435657,0.000328135,4
118,omega,0.00143852,9.51274e-05,1
118,k,0.00313422,0.000269806,1
119,Ux,0.00242604,3.3345e-05,2
119,Uy,0.0108616,0.000853293,1
119,p,0.0417069,0.000304785,4
119,omega,0.00135694,8.99604e-05,1
119,k,0.00298182,0.000258032,1
120,Ux,0.00233833,3.20355e-05,2
120,Uy,0.0102838,0.000811913,1
120,p,0.0399596,0.000286772,4
120,omega,0.00128207,8.53386e-05,1
120,k,0.00284317,0.000247284,1
121,Ux,0.00224271,3.07682e-05,2
121,Uy,0.00980001,0.000777593,1
121,p,0.0383041,0.000274541,4
121,omega,0.00121434,8.11629e-05,1
121,k,0.00271402,0.000237802,1
122,Ux,0.00213766,2.95745e-05,2
122,Uy,0.00937953,0.000747588,1
