iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
178,-2931.9,6.232,-3244.51,-3599.2117,841.3065956,97350.47525
179,-2971.41,6.1501,-3278.31,-3647.511123,773.7874067,97309.07025
180,-2988.72,5.71187,-3297.56,-3668.179041,729.8674387,97285.489
181,-2988.89,4.96689,-3304.05,-3667.47469,705.5198889,97277.53875
182,-2973.39,3.96618,-3294.63,-3647.26132,700.6405065,97289.07825
183,-2957.97,2.742,-3281.68,-3626.8722,697.9049556,97304.942
184,-2951.37,1.40903,-3276.51,-3617.154312,688.4795787,97311.27525
185,-2941.34,0.173649,-3270.31,-3603.35422,688.3370598,97318.87025
186,-2922,-0.813374,-3261.67,-3578.453617,705.4369067,97329.45425
187,-2903.17,-1.5268,-3260.64,-3554.51292,728.1164271,97330.716
188,-2874.72,-1.8046,-3256.28,-3519.321365,768.897162,97336.057
189,-2842.75,-1.68588,-3252.14,-3480.303547,819.7845375,97341.1285
190,-2815.46,-1.26787,-3252.94,-3447.385359,869.9602441,97340.1485
191,-2793.91,-0.635262,-3256.32,-3421.761554,916.7387338,97336.008
192,-2779.26,0.157294,-3260.92,-3404.786185,957.3262835,97330.373
193,-2767.5,1.10329,-3263.27,-3391.53903,994.2614554,97327.49425
194,-2755.4,2.12831,-3260.5,-3377.97218,1029.753291,97330.8875
195,-2740.06,3.09623,-3248.06,-3360.366382,1065.448164,97346.1265
196,-2722.43,3.96016,-3224.95,-3339.827946,1098.700649,97374.43625
197,-2709.97,4.68773,-3198.64,-3325.455719,1119.155455,97406.666
198,-2698.91,5.2567,-3165.1,-3312.604208,1131.027039,97447.7525
199,-2693.14,5.65849,-3130.17,-3306.02815,1129.011783,97490.54175
200,-2694.99,5.87355,-3099.57,-3308.557849,1110.831692,97528.02675
201,-2698.4,5.83862,-3072.83,-3312.69231,1084.71557,97560.78325
202,-2700.01,5.5519,-3047.24,-3314.313328,1056.12335,97592.131
203,-2702.2,5.06273,-3028.28,-3316.396844,1023.915955,97615.357
204,-2700.33,4.41252,-3007.82,-3313.309587,995.2731369,97640.4205
205,-2699.37,3.67664,-2993.25,-3311.232134,965.9875843,97658.26875
206,-2700.72,2.94846,-2982.86,-3311.993863,935.5324146,97670.9965
207,-2710.45,2.28454,-2980.87,-3323.099812,897.457453,97673.43425
208,-2743.34,1.73322,-2999.84,-3362.714695,834.7023352,97650.196
209,-2784.88,1.19262,-3030.93,-3412.93896,765.9792407,97612.11075
210,-2830.31,0.618,-3074.25,-3467.8868,697.8984818,97559.04375
211,-2864.12,0.0287184,-3114.04,-3508.58218,649.4579395,97510.301
212,-2888.36,-0.516485,-3149.35,-3537.608306,618.4512531,97467.04625
213,-2904.35,-0.975528,-3179.63,-3556.633728,602.8061579,97429.95325
214,-2914.34,-1.30888,-3204.29,-3568.463122,599.5944496,97399.74475
215,-2919.89,-1.49299,-3224.08,-3575.036337,606.613796,97375.502
216,-2924.06,-1.5192,-3243.08,-3580.11248,619.3495282,97352.227
217,-2925.15,-1.429,-3259.1,-3581.558225,639.5389892,97332.6025
218,-2928.45,-1.2014,-3273.65,-3585.879535,659.8977792,97314.77875
219,-2936.62,-0.796848,-3287.88,-3596.383361,676.6033249,97297.347
220,-2942.52,-0.13316,-3298.71,-3604.423879,697.0267108,97284.08025
221,-2917.8,0.731579,-3285.93,-3575.201184,755.1596589,97299.73575
222,-2876.27,1.56361,-3255.62,-3525.346172,833.3095883,97336.8655
223,-2830.83,2.44304,-3216.53,-3470.759474,914.0730627,97384.75075
224,-2785.26,3.39289,-3171.23,-3416.09979,991.8731935,97440.24325
225,-2743.83,4.37094,-3123.69,-3366.546151,1060.508654,97498.47975
226,-2717.13,5.31318,-3082.7,-3334.992896,1105.972331,97548.6925
227,-2707.91,6.17248,-3053.02,-3324.751038,1124.391936,97585.0505
228,-2704.89,6.89335,-3028.25,-3321.934604,1128.667725,97615.39375
229,-2703.55,7.38734,-3007.48,-3320.898242,1124.348753,97640.837
230,-2701.43,7.60065,-2989.48,-3318.562546,1114.337065,97662.887
231,-2698.48,7.51073,-2973.63,-3314.838644,1098.990236,97682.30325
232,-2694.48,7.13187,-2958.4,-3309.474541,1079.694943,97700.96
233,-2689.45,6.52122,-2942.34,-3302.564744,1057.489721,97720.6335
234,-2682.83,5.7746,-2923.16,-3293.540635,1034.458456,97744.129
235,-2675.16,4.99061,-2901.09,-3283.184497,1011.526858,97771.16475
236,-2667.35,4.21906,-2878.21,-3272.672099,989.1711169,97799.19275
237,-2659.91,3.46927,-2857.7,-3262.639606,968.1775426,97824.3175
238,-2654.68,2.81803,-2843.06,-3255.435087,947.265656,97842.2515
239,-2658.78,2.32423,-2840.12,-3259.852682,918.4832586,97845.853
240,-2672.75,1.95241,-2847.56,-3276.510452,881.8117722,97836.739
241,-2690.74,1.54098,-2860.3,-3298.044201,845.2536934,97821.1325
242,-2706.58,1.04927,-2873.19,-3316.845856,816.4389215,97805.34225
243,-2717.6,0.491083,-2884.49,-3329.661577,798.8312282,97791.49975
244,-2724.11,-0.0798001,-2894.67,-3336.936995,791.8576456,97779.02925
245,-2728.33,-0.60055,-2905.3,-3341.468576,792.4254471,97766.0075
246,-2731.97,-1.02094,-2917.01,-3345.412599,797.9781982,97751.66275
247,-2735.78,-1.32092,-2929.67,-3349.712373,807.1124473,97736.15425
248,-2739.3,-1.46965,-2942.06,-3353.842179,819.8776766,97720.9765
249,-2742.36,-1.45801,-2953.47,-3357.604938,835.9691019,97706.99925
250,-2744.64,-1.27604,-2963.06,-3360.620851,855.2195135,97695.2515
251,-2745.74,-0.931043,-2970.23,-3362.390972,877.55962,97686.46825
252,-2745.21,-0.429376,-2974.42,-3362.356264,902.8987792,97681.3355
253,-2743.35,0.232578,-2975.58,-3360.888658,930.1068209,97679.9145
254,-2740.78,1.03591,-2974.41,-3358.72449,957.5853419,97681.34775
255,-2738.25,1.94094,-2972.14,-3356.733902,983.5227507,97684.1285
256,-2736.75,2.9016,-2970.22,-3356.07321,1005.784589,97686.4805
257,-2737.06,3.86863,-2969.87,-3357.637572,1022.635534,97686.90925
258,-2739.79,4.79589,-2972,-3362.117715,1032.530632,97684.3
259,-2745.05,5.64623,-2976.88,-3369.602882,1034.569198,97678.322
260,-2752.5,6.37704,-2984.23,-3379.624374,1028.34936,97669.31825
261,-2761.17,6.9485,-2993.06,-3390.945163,1014.842858,97658.5015
262,-2770.01,7.31545,-3002.27,-3402.223676,994.9685456,97647.21925
263,-2778.22,7.44326,-3010.92,-3412.437494,969.8179941,97636.623
264,-2785.07,7.32403,-3018.25,-3420.682687,940.7446344,97627.64375
265,-2790.49,6.97492,-3024.15,-3426.894527,908.8521411,97620.41625
266,-2795,6.43188,-3029.11,-3431.754053,874.3873509,97614.34025
267,-2798.73,5.75743,-3033.24,-3435.497102,838.7415274,97609.281
268,-2801.8,5.02743,-3036.63,-3438.363602,803.2415149,97605.12825
269,-2804.19,4.32128,-3039.24,-3440.426318,769.267933,97601.931
270,-2805.87,3.70118,-3041.08,-3441.724696,737.9887336,97599.677
271,-2806.88,3.19892,-3042.27,-3442.346677,710.2053363,97598.21925
272,-2807.46,2.81304,-3043.04,-3442.584474,686.2209665,97597.276
273,-2807.79,2.51856,-3043.56,-3442.627986,666.2379542,97596.639
274,-2808.05,2.28026,-3043.92,-3442.654569,650.3075375,97596.198
275,-2808.17,2.0608,-3043.96,-3442.53273,638.6564624,97596.149
276,-2807.89,1.82841,-3043.33,-3441.905052,631.5923113,97596.92075
277,-2806.66,1.55709,-3041.42,-3440.065935,629.7011199,97599.2605
278,-2804.04,1.22784,-3037.85,-3436.453104,633.3780884,97603.63375
279,-2800.02,0.837687,-3032.71,-3431.050667,642.3714542,97609.93025
