time,field,initial_residual,final_residual,linear_iterations
49,Ux,0.0645556,0.0021323,2
49,Uy,0.0906086,0.00351616,2
49,p,0.229303,0.00110355,4
49,omega,0.0289736,0.000438563,2
49,k,0.0491572,0.00134605,2
50,Ux,0.0646356,0.00215634,2
50,Uy,0.0916452,0.00361182,2
50,p,0.228645,0.00124599,4
50,omega,0.0280001,0.000440588,2
50,k,0.048864,0.00136277,2
51,Ux,0.0646603,0.0021778,2
51,Uy,0.0926191,0.00370981,2
51,p,0.229864,0.00129802,4
51,omega,0.0273039,0.000448011,2
51,k,0.048507,0.00138968,2
52,Ux,0.0646203,0.00220081,2
52,Uy,0.0936357,0.00381318,2
52,p,0.231059,0.00130249,4
52,omega,0.0262396,0.000458631,2
52,k,0.0480971,0.00141804,2
53,Ux,0.0643369,0.00222784,2
53,Uy,0.0941043,0.00392576,2
53,p,0.234151,0.00130359,4
53,omega,0.0254994,0.000471885,2
53,k,0.0476096,0.0014511,2
54,Ux,0.0638666,0.00225706,2
54,Uy,0.0942777,0.00402688,2
54,p,0.238177,0.00124216,4
54,omega,0.0245903,0.000487893,2
54,k,0.0472058,0.00148917,2
55,Ux,0.0634504,0.00228337,2
55,Uy,0.0945247,0.00413117,2
55,p,0.240083,0.00113847,4
55,omega,0.0237791,0.00050206,2
55,k,0.0469605,0.00153431,2
56,Ux,0.0627243,0.00230867,2
56,Uy,0.0948454,0.00425417,2
56,p,0.240656,0.00104652,4
56,omega,0.0231519,0.000515201,2
56,k,0.0467943,0.00158408,2
57,Ux,0.0618046,0.00232945,2
57,Uy,0.0951561,0.00438466,2
57,p,0.242331,0.000985996,4
57,omega,0.0226598,0.000528723,2
57,k,0.046712,0.00163979,2
58,Ux,0.0609793,0.00234613,2
58,Uy,0.0953985,0.00451401,2
58,p,0.244036,0.000956148,4
58,omega,0.0220952,0.000542113,2
58,k,0.0468849,0.00170033,2
59,Ux,0.0600076,0.00235776,2
59,Uy,0.0957107,0.00461589,2
59,p,0.247214,0.000962837,4
59,omega,0.0218626,0.000554418,2
59,k,0.0472412,0.00175987,2
60,Ux,0.058946,0.00235994,2
60,Uy,0.0961706,0.00471922,2
60,p,0.249451,0.000985609,4
60,omega,0.0217658,0.000565519,2
60,k,0.047497,0.00181698,2
61,Ux,0.0578497,0.00235764,2
61,Uy,0.0964624,0.00479192,2
61,p,0.252407,0.000969338,4
61,omega,0.0215921,0.00057527,2
61,k,0.0476492,0.00187189,2
62,Ux,0.05678,0.00234679,2
62,Uy,0.0966999,0.0048381,2
62,p,0.254107,0.000920222,4
62,omega,0.0214466,0.000582818,2
62,k,0.0478477,0.00192335,2
63,Ux,0.0556307,0.00233119,2
63,Uy,0.0971649,0.00489703,2
63,p,0.257133,0.000904614,4
63,omega,0.0214629,0.000586878,2
63,k,0.0481349,0.00197192,2
64,Ux,0.0545316,0.0023112,2
64,Uy,0.0976224,0.00495056,2
64,p,0.26068,0.000937419,4
64,omega,0.0217227,0.000590786,2
64,k,0.0485074,0.00201901,2
65,Ux,0.0537885,0.00229276,2
65,Uy,0.0980323,0.00497567,2
65,p,0.261651,0.000914712,4
65,omega,0.0216241,0.000591311,2
65,k,0.0488796,0.00205954,2
66,Ux,0.0531678,0.00227589,2
66,Uy,0.0987163,0.0050283,2
66,p,0.26408,0.000937929,4
66,omega,0.0216257,0.000588587,2
66,k,0.0493422,0.00209558,2
67,Ux,0.0527805,0.00226158,2
67,Uy,0.099483,0.00506488,2
67,p,0.260776,0.000946964,4
67,omega,0.022345,0.000589066,2
67,k,0.050509,0.00213423,2
68,Ux,0.0529925,0.00225241,2
68,Uy,0.0996336,0.00505879,2
68,p,0.255423,0.000956546,4
68,omega,0.0223184,0.000588348,2
68,k,0.051193,0.00216767,2
69,Ux,0.0529744,0.00224561,2
69,Uy,0.100043,0.00506079,2
69,p,0.251554,0.000860212,4
69,omega,0.0224899,0.000586883,2
69,k,0.0522694,0.00220287,2
70,Ux,0.0526165,0.00224893,2
70,Uy,0.0999339,0.00506867,2
70,p,0.246941,0.000820367,4
70,omega,0.0224318,0.000586207,2
70,k,0.0529281,0.0022445,2
71,Ux,0.0528194,0.0022717,2
71,Uy,0.0998662,0.00513869,2
71,p,0.242522,0.0008152,4
71,omega,0.0227086,0.000578992,2
71,k,0.0537374,0.0022683,2
72,Ux,0.0529341,0.00228778,2
72,Uy,0.100053,0.00516113,2
72,p,0.246784,0.000921027,4
72,omega,0.0227029,0.00057605,2
72,k,0.0544279,0.0023028,2
73,Ux,0.0529392,0.00229811,2
73,Uy,0.10037,0.0051751,2
73,p,0.252361,0.000988666,4
73,omega,0.0229975,0.000576178,2
73,k,0.0551815,0.00233071,2
74,Ux,0.0530565,0.00230558,2
74,Uy,0.101274,0.00519135,2
74,p,0.258774,0.000991687,4
74,omega,0.0228403,0.000574411,2
74,k,0.0556796,0.00236499,2
75,Ux,0.0529232,0.00231306,2
75,Uy,0.10167,0.00523735,2
75,p,0.255258,0.00096381,4
75,omega,0.022804,0.000565821,2
75,k,0.0562323,0.00239295,2
76,Ux,0.052957,0.00232369,2
76,Uy,0.102459,0.00525879,2
76,p,0.258418,0.000865302,4
76,omega,0.022803,0.000556943,2
76,k,0.0566027,0.00241912,2
77,Ux,0.0529959,0.00233382,2
77,Uy,0.1033,0.0052758,2
77,p,0.254872,0.000775134,4
77,omega,0.0227465,0.000550059,2
77,k,0.0570986,0.0024471,2
78,Ux,0.0531846,0.00234413,2
78,Uy,0.103645,0.00529146,2
78,p,0.256021,0.000746766,4
78,omega,0.0225644,0.000541628,2
78,k,0.057673,0.00246734,2
79,Ux,0.05348,0.00235552,2
79,Uy,0.104162,0.00528526,2
79,p,0.244845,0.000735737,4
79,omega,0.0223158,0.000538712,2
79,k,0.0582457,0.00248949,2
80,Ux,0.0539142,0.0023698,2
80,Uy,0.104036,0.00527228,2
80,p,0.237262,0.000747545,4
80,omega,0.0223209,0.000531718,2
80,k,0.0585676,0.00250581,2
81,Ux,0.0541402,0.00238123,2
81,Uy,0.104047,0.0052547,2
81,p,0.231978,0.000756238,4
81,omega,0.022121,0.000528852,2
81,k,0.0589275,0.00252233,2
82,Ux,0.054263,0.00239635,2
82,Uy,0.10361,0.00524652,2
82,p,0.229051,0.000793145,4
82,omega,0.0218044,0.000527555,2
82,k,0.0592069,0.00253324,2
83,Ux,0.0543843,0.0024031,2
83,Uy,0.103305,0.0052285,2
83,p,0.229457,0.00093618,4
83,omega,0.0215382,0.000528675,2
83,k,0.0593356,0.00254634,2
84,Ux,0.0543906,0.00240161,2
84,Uy,0.103143,0.00520703,2
84,p,0.229922,0.00105582,4
84,omega,0.0214196,0.000528588,2
84,k,0.0595726,0.00255597,2
85,Ux,0.0542804,0.00240206,2
85,Uy,0.102806,0.00518414,2
85,p,0.229648,0.0011341,4
85,omega,0.0209671,0.000528231,2
85,k,0.0597087,0.00255994,2
86,Ux,0.0542632,0.00240259,2
86,Uy,0.102471,0.00516295,2
86,p,0.231285,0.00115685,4
86,omega,0.0208697,0.000527342,2
86,k,0.0596844,0.00256257,2
87,Ux,0.0541914,0.00239649,2
87,Uy,0.102283,0.00513943,2
87,p,0.232043,0.00109624,4
87,omega,0.0207503,0.000522349,2
87,k,0.059751,0.00256377,2
88,Ux,0.0541381,0.00239132,2
88,Uy,0.101968,0.00511438,2
88,p,0.23006,0.000956304,4
88,omega,0.0201819,0.000514319,2
88,k,0.0598314,0.00255917,2
89,Ux,0.054,0.00238853,2
89,Uy,0.101631,0.00508664,2
89,p,0.226899,0.000813022,4
89,omega,0.0200974,0.000507953,2
89,k,0.0597438,0.00255618,2
90,Ux,0.0538005,0.00238149,2
90,Uy,0.101494,0.00507099,2
90,p,0.227185,0.000734538,4
90,omega,0.0197996,0.000500208,2
90,k,0.0597823,0.0025493,2
91,Ux,0.0534757,0.00237216,2
91,Uy,0.101603,0.00506886,2
91,p,0.226409,0.00071411,4
91,omega,0.0192583,0.000487493,2
91,k,0.0597765,0.00253882,2
92,Ux,0.053202,0.00236532,2
92,Uy,0.101489,0.00506612,2
92,p,0.227824,0.00071474,4
92,omega,0.0191002,0.000476464,2
92,k,0.0597294,0.0025306,2
93,Ux,0.0529887,0.00235852,2
93,Uy,0.101606,0.00507649,2
93,p,0.229663,0.000734337,4
93,omega,0.0188349,0.000467577,2
93,k,0.0596929,0.00251884,2
94,Ux,0.0527929,0.00234884,2
94,Uy,0.101991,0.00508695,2
94,p,0.236356,0.000759508,4
94,omega,0.018322,0.000456741,2
94,k,0.0597158,0.00250626,2
95,Ux,0.0527,0.00233815,2
95,Uy,0.102372,0.00508737,2
95,p,0.242583,0.000786147,4
95,omega,0.0180738,0.000444658,2
95,k,0.0597924,0.00249417,2
96,Ux,0.0525607,0.00233177,2
96,Uy,0.102656,0.00508864,2
96,p,0.248379,0.000879151,4
96,omega,0.0179818,0.00043587,2
96,k,0.0599854,0.00248478,2
97,Ux,0.0525276,0.00232359,2
97,Uy,0.103149,0.00509236,2
97,p,0.256654,0.000984887,4
97,omega,0.0177425,0.000425161,2
97,k,0.060428,0.00247146,2
98,Ux,0.0526905,0.00231506,2
98,Uy,0.104272,0.00509674,2
98,p,0.262258,0.00112345,4
98,omega,0.0175727,0.000415022,2
98,k,0.0608018,0.00245675,2
99,Ux,0.0529488,0.00230727,2
99,Uy,0.104825,0.00509619,2
99,p,0.270143,0.00124996,4
99,omega,0.01742,0.000404982,2
99,k,0.0614765,0.00244294,2
100,Ux,0.053095,0.00229875,2
100,Uy,0.105415,0.00505973,2
100,p,0.273269,0.00138475,4
100,omega,0.0173396,0.000395377,2
100,k,0.0620296,0.00242605,2
101,Ux,0.0531597,0.00227988,2
101,Uy,0.105547,0.00501521,2
101,p,0.270325,0.00147817,4
101,omega,0.016915,0.000387137,2
101,k,0.0622193,0.00241014,2
102,Ux,0.0530528,0.00226851,2
102,Uy,0.105821,0.00499459,2
102,p,0.261511,0.00146249,4
102,omega,0.0167493,0.000380679,2
102,k,0.0624131,0.00239614,2
103,Ux,0.0530819,0.00225392,2
103,Uy,0.105436,0.00495566,2
103,p,0.265045,0.00125811,4
103,omega,0.0167604,0.000375895,2
103,k,0.0626787,0.00238473,2
104,Ux,0.0530345,0.00223972,2
104,Uy,0.104576,0.00493651,2
104,p,0.277427,0.00129732,4
104,omega,0.0165625,0.000369429,2
104,k,0.063082,0.00236866,2
105,Ux,0.0528952,0.00221631,2
105,Uy,0.103732,0.00486567,2
105,p,0.287509,0.00136136,4
105,omega,0.0166571,0.000365722,2
105,k,0.0628865,0.00235851,2
106,Ux,0.0525014,0.00219008,2
106,Uy,0.102901,0.00480985,2
106,p,0.300027,0.00142886,4
106,omega,0.0161742,0.000360732,2
106,k,0.0629422,0.0023488,2
107,Ux,0.0520861,0.00216457,2
107,Uy,0.102411,0.00478024,2
107,p,0.296274,0.00134309,4
107,omega,0.0160566,0.000354645,2
107,k,0.0626699,0.00234419,2
108,Ux,0.0515112,0.00213772,2
108,Uy,0.101826,0.00473588,2
108,p,0.305702,0.00126364,4
108,omega,0.015654,0.000350693,2
108,k,0.0625086,0.0023402,2
109,Ux,0.0510355,0.00210619,2
109,Uy,0.102016,0.00472557,2
109,p,0.302963,0.00114236,4
109,omega,0.01572,0.000348344,2
109,k,0.0621407,0.00233425,2
110,Ux,0.0503302,0.00207608,2
110,Uy,0.101927,0.0047115,2
110,p,0.295293,0.000944307,4
110,omega,0.015427,0.000345294,2
110,k,0.0625162,0.00233641,2
111,Ux,0.0498323,0.00204409,2
111,Uy,0.102063,0.00472123,2
111,p,0.285956,0.000819255,4
111,omega,0.0150839,0.000342462,2
111,k,0.062369,0.00233444,2
112,Ux,0.0491022,0.00200858,2
112,Uy,0.102313,0.00472156,2
112,p,0.270525,0.000738611,4
112,omega,0.0148753,0.000340477,2
112,k,0.0624447,0.0023365,2
113,Ux,0.0485968,0.00197317,2
113,Uy,0.102082,0.00471632,2
113,p,0.267497,0.000789162,4
113,omega,0.0147414,0.000338739,2
113,k,0.0623738,0.00233888,2
114,Ux,0.047643,0.00193447,2
114,Uy,0.102047,0.0046865,2
114,p,0.25653,0.000915748,4
114,omega,0.0143923,0.000337797,2
114,k,0.0623252,0.00233349,2
115,Ux,0.0467991,0.00189448,2
115,Uy,0.101436,0.00464856,2
115,p,0.250811,0.00101305,4
115,omega,0.0141146,0.000337246,2
115,k,0.0622868,0.00233271,2
116,Ux,0.0458183,0.00185032,2
116,Uy,0.101029,0.00458785,2
116,p,0.250782,0.00105089,4
116,omega,0.0138649,0.000335164,2
116,k,0.0619676,0.0023229,2
117,Ux,0.0449471,0.00181039,2
117,Uy,0.100493,0.00451677,2
117,p,0.250386,0.00107661,4
117,omega,0.0135318,0.000333134,2
117,k,0.0616485,0.00231509,2
118,Ux,0.0441613,0.00176956,2
118,Uy,0.0993326,0.00443302,2
118,p,0.252186,0.00103692,4
118,omega,0.0135199,0.000329151,2
118,k,0.0614585,0.00229968,2
119,Ux,0.0432824,0.00172614,2
119,Uy,0.0979618,0.00432358,2
119,p,0.24725,0.000908033,4
119,omega,0.0132725,0.000325312,2
119,k,0.061445,0.00227997,2
120,Ux,0.0424785,0.00168998,2
120,Uy,0.0967581,0.00422366,2
120,p,0.244403,0.000946335,4
120,omega,0.013101,0.000320072,2
120,k,0.0610075,0.00226171,2
121,Ux,0.0416595,0.00164967,2
121,Uy,0.0950535,0.00411063,2
121,p,0.242203,0.000921632,4
121,omega,0.013064,0.000314264,2
121,k,0.0607078,0.00223435,2
122,Ux,0.0408936,0.00161083,2
122,Uy,0.0930635,0.00399597,2
122,p,0.235393,0.000912839,4
122,omega,0.0126158,0.000306768,2
122,k,0.060724,0.00220736,2
123,Ux,0.040035,0.00157691,2
123,Uy,0.0910661,0.00389082,2
123,p,0.232775,0.000905952,4
123,omega,0.0126904,0.000300518,2
123,k,0.060299,0.00218208,2
124,Ux,0.0392781,0.00153827,2
124,Uy,0.0893538,0.00379537,2
124,p,0.229756,0.00224945,3
124,omega,0.0125688,0.000294768,2
124,k,0.0603098,0.00215478,2
125,Ux,0.0386796,0.00150466,2
125,Uy,0.0877946,0.0037227,2
125,p,0.227043,0.00222155,3
125,omega,0.0122066,0.000286079,2
125,k,0.0601791,0.00212934,2
126,Ux,0.0380378,0.00147809,2
126,Uy,0.0865363,0.00365772,2
126,p,0.225877,0.000930213,4
126,omega,0.0123651,0.000280725,2
126,k,0.060096,0.00210706,2
127,Ux,0.0374511,0.00144849,2
127,Uy,0.0857271,0.00361155,2
127,p,0.229592,0.000929948,4
127,omega,0.0122118,0.000277455,2
127,k,0.0603199,0.00208842,2
128,Ux,0.0370261,0.0014196,2
128,Uy,0.0851717,0.00358364,2
128,p,0.239426,0.000930246,4
128,omega,0.0119826,0.000269631,2
128,k,0.0603681,0.00206459,2
129,Ux,0.0366862,0.00140234,2
129,Uy,0.0848338,0.00355969,2
129,p,0.246106,0.000921995,4
129,omega,0.0119708,0.000265464,2
129,k,0.060938,0.00204681,2
130,Ux,0.0364787,0.00138776,2
130,Uy,0.0847376,0.00356468,2
130,p,0.249584,0.000856531,4
130,omega,0.011877,0.000262027,2
130,k,0.0614538,0.0020393,2
131,Ux,0.0362859,0.00136992,2
131,Uy,0.0847669,0.00355749,2
131,p,0.262776,0.000820487,4
131,omega,0.0117133,0.000256448,2
131,k,0.0625668,0.002031,2
132,Ux,0.0361907,0.0013532,2
132,Uy,0.0851304,0.00356257,2
132,p,0.252049,0.000835149,4
132,omega,0.0116885,0.000252158,2
132,k,0.0629491,0.00202345,2
133,Ux,0.0361622,0.00133892,2
133,Uy,0.0859651,0.00356437,2
133,p,0.247542,0.000914269,4
133,omega,0.0117167,0.000249696,2
133,k,0.0638976,0.00203011,2
134,Ux,0.0359649,0.00132508,2
134,Uy,0.0863518,0.00361024,2
134,p,0.253353,0.00106591,4
134,omega,0.0116909,0.000246166,2
134,k,0.0649373,0.00204325,2
135,Ux,0.0357882,0.0013128,2
135,Uy,0.0865082,0.00368353,2
135,p,0.254212,0.0012229,4
135,omega,0.0117383,0.000243726,2
135,k,0.06577,0.00204907,2
136,Ux,0.0356761,0.00130377,2
136,Uy,0.0871875,0.00370878,2
136,p,0.267916,0.00127145,4
136,omega,0.0117393,0.000242315,2
136,k,0.0663191,0.0020667,2
137,Ux,0.0354435,0.00129604,2
137,Uy,0.088164,0.0038003,2
137,p,0.27122,0.00135549,4
137,omega,0.0115938,0.000237211,2
137,k,0.066779,0.00206136,2
138,Ux,0.0354418,0.00129169,2
138,Uy,0.0891944,0.00380783,2
138,p,0.274399,0.00126149,4
138,omega,0.0117575,0.000235932,2
138,k,0.0671441,0.00206028,2
139,Ux,0.0352163,0.00128885,2
139,Uy,0.0901555,0.00388544,2
139,p,0.278807,0.00114454,4
139,omega,0.0116211,0.000232251,2
139,k,0.06704,0.00205603,2
140,Ux,0.0352927,0.00128588,2
140,Uy,0.0918154,0.00392707,2
140,p,0.279912,0.00101809,4
140,omega,0.0117041,0.000229666,2
140,k,0.0672057,0.00204258,2
141,Ux,0.0353072,0.00129008,2
141,Uy,0.0935928,0.00400754,2
141,p,0.2802,0.000939452,4
141,omega,0.0114575,0.00022827,2
141,k,0.0667889,0.00203109,2
142,Ux,0.0354734,0.00128778,2
142,Uy,0.0954104,0.00407037,2
142,p,0.274227,0.000923594,4
142,omega,0.011542,0.000228144,2
142,k,0.0665657,0.00200794,2
143,Ux,0.0356488,0.00129081,2
143,Uy,0.0970486,0.00413486,2
143,p,0.268204,0.000899341,4
143,omega,0.011592,0.000229107,2
143,k,0.0665502,0.00200033,2
144,Ux,0.035873,0.00129231,2
144,Uy,0.0984832,0.00417716,2
144,p,0.266625,0.000937864,4
144,omega,0.0114262,0.000231133,2
144,k,0.06611,0.00198638,2
145,Ux,0.0359024,0.00129141,2
145,Uy,0.100018,0.00424067,2
145,p,0.257083,0.00107093,4
145,omega,0.0113222,0.00023443,2
145,k,0.0655845,0.00196893,2
146,Ux,0.0360328,0.001289,2
146,Uy,0.100931,0.00426699,2
146,p,0.253539,0.00117888,4
146,omega,0.0113582,0.000237834,2
146,k,0.0651881,0.00195009,2
147,Ux,0.0359487,0.00128343,2
147,Uy,0.101721,0.00425845,2
147,p,0.24746,0.00109433,4
147,omega,0.0112544,0.000241565,2
147,k,0.0643004,0.00193693,2
148,Ux,0.0359267,0.00127844,2
148,Uy,0.102094,0.004248,2
148,p,0.244668,0.00106713,4
148,omega,0.0112009,0.00024641,2
148,k,0.0630158,0.00192101,2
149,Ux,0.0357572,0.00126467,2
149,Uy,0.101786,0.00418867,2
149,p,0.241323,0.00102374,4
149,omega,0.011225,0.000247736,2
149,k,0.0624419,0.0019083,2
150,Ux,0.0355971,0.00125062,2
150,Uy,0.101548,0.0041222,2
150,p,0.23672,0.00108704,4
150,omega,0.0110167,0.000248166,2
150,k,0.0614434,0.00188532,2
151,Ux,0.0352677,0.00123459,2
151,Uy,0.100652,0.00403836,2
