time,field,initial_residual,final_residual,linear_iterations
56,k,0.0170168,0.000890126,2
57,Ux,0.00483223,0.000288598,2
57,Uy,0.0216251,0.00131968,2
57,p,0.167297,0.00144175,5
57,omega,0.00348835,0.00014735,2
57,k,0.0168335,0.000896091,2
58,Ux,0.00481388,0.000286389,2
58,Uy,0.0214439,0.00130959,2
58,p,0.166151,0.00134125,5
58,omega,0.00344632,0.000145719,2
58,k,0.0166266,0.000900849,2
59,Ux,0.00479432,0.000284369,2
59,Uy,0.0211456,0.00129419,2
59,p,0.163875,0.00125661,5
59,omega,0.00342071,0.000144369,2
59,k,0.0164203,0.000904061,2
60,Ux,0.00477091,0.000282562,2
60,Uy,0.0207739,0.0012741,2
60,p,0.160442,0.00119849,5
60,omega,0.00337727,0.000143452,2
60,k,0.0162062,0.000905822,2
61,Ux,0.00473688,0.000280596,2
61,Uy,0.0203689,0.00124987,2
61,p,0.155589,0.00122683,5
61,omega,0.00333956,0.000142871,2
61,k,0.0160002,0.000906561,2
62,Ux,0.00469608,0.000278064,2
62,Uy,0.0198832,0.00122239,2
62,p,0.15105,0.00126081,5
62,omega,0.00330241,0.00014267,2
62,k,0.0158179,0.000906765,2
63,Ux,0.00464356,0.000274771,2
63,Uy,0.0193639,0.00119277,2
63,p,0.146158,0.00126277,5
63,omega,0.00326481,0.000142623,2
63,k,0.0156635,0.000905828,2
64,Ux,0.00458201,0.000270936,2
64,Uy,0.0188181,0.00116291,2
64,p,0.143198,0.00120843,5
64,omega,0.00323721,0.000142662,2
64,k,0.0155113,0.000903405,2
65,Ux,0.00451208,0.000266592,2
65,Uy,0.0183022,0.00113394,2
65,p,0.143509,0.00111358,5
65,omega,0.00320574,0.000142539,2
65,k,0.015367,0.000900062,2
66,Ux,0.00443786,0.000261988,2
66,Uy,0.0177972,0.00110603,2
66,p,0.144917,0.00100102,5
66,omega,0.00317682,0.000142317,2
66,k,0.0152218,0.000895951,2
67,Ux,0.00436197,0.000257763,2
67,Uy,0.0173166,0.00107864,2
67,p,0.14613,0.000902282,5
67,omega,0.00314982,0.000142175,2
67,k,0.0150764,0.000890392,2
68,Ux,0.00428549,0.000253406,2
68,Uy,0.0168353,0.00105159,2
68,p,0.146007,0.000836356,5
68,omega,0.00313776,0.000142138,2
68,k,0.0149365,0.000884008,2
69,Ux,0.00421738,0.000249299,2
69,Uy,0.0163659,0.0010247,2
69,p,0.144283,0.000836825,5
69,omega,0.00312716,0.000142063,2
69,k,0.0148082,0.000877044,2
70,Ux,0.00415342,0.000245981,2
70,Uy,0.0159102,0.000999417,2
70,p,0.141003,0.000866517,5
70,omega,0.00310677,0.000141973,2
70,k,0.014665,0.000870364,2
71,Ux,0.004095,0.00024316,2
71,Uy,0.015462,0.000975629,2
71,p,0.135402,0.000875095,5
71,omega,0.00307807,0.00014187,2
71,k,0.0145242,0.000862904,2
72,Ux,0.00404242,0.000240945,2
72,Uy,0.0150308,0.000953482,2
72,p,0.128502,0.000862601,5
72,omega,0.00305145,0.00014171,2
72,k,0.0143706,0.000855823,2
73,Ux,0.00399175,0.00023886,2
73,Uy,0.0146432,0.000933749,2
73,p,0.120838,0.000831017,5
73,omega,0.00302481,0.00014141,2
73,k,0.0142379,0.000848211,2
74,Ux,0.00394126,0.000236538,2
74,Uy,0.0142823,0.000916247,2
74,p,0.115102,0.000773326,5
74,omega,0.0029922,0.000141018,2
74,k,0.0141159,0.000840406,2
75,Ux,0.00388356,0.000234012,2
75,Uy,0.0139426,0.000900861,2
75,p,0.111458,0.000687084,5
75,omega,0.00295715,0.000140571,2
75,k,0.0139985,0.000832917,2
76,Ux,0.00382362,0.000231179,2
76,Uy,0.0136473,0.000888,2
76,p,0.109188,0.00100365,4
76,omega,0.00292311,0.000140109,2
76,k,0.0138978,0.000825046,2
77,Ux,0.00375459,0.000227837,2
77,Uy,0.0133794,0.000876317,2
77,p,0.107217,0.000979304,4
77,omega,0.00288788,0.000139568,2
77,k,0.013775,0.000817306,2
78,Ux,0.00368953,0.000224137,2
78,Uy,0.0131561,0.000865529,2
78,p,0.104566,0.00101438,4
78,omega,0.00285424,0.000138946,2
78,k,0.0136627,0.000809454,2
79,Ux,0.00362626,0.000220412,2
79,Uy,0.0129605,0.00085592,2
79,p,0.10153,0.000617967,5
79,omega,0.00282406,0.00013836,2
79,k,0.0135367,0.000801176,2
80,Ux,0.00356181,0.000216538,2
80,Uy,0.0127885,0.000848482,2
80,p,0.0981614,0.00097399,4
80,omega,0.00279418,0.000137712,2
80,k,0.0134121,0.000793056,2
81,Ux,0.00350259,0.000212726,2
81,Uy,0.0126526,0.000841362,2
81,p,0.0956949,0.000614588,5
81,omega,0.00276004,0.000136801,2
81,k,0.0132682,0.000784608,2
82,Ux,0.00343655,0.000208493,2
82,Uy,0.0125209,0.000834172,2
82,p,0.0930013,0.00086041,4
82,omega,0.00273472,0.000135852,2
82,k,0.0131142,0.000776295,2
83,Ux,0.00337865,0.000204688,2
83,Uy,0.0124036,0.000829381,2
83,p,0.0917525,0.00090285,4
83,omega,0.00270902,0.000134785,2
83,k,0.0129543,0.000767803,2
84,Ux,0.00331997,0.000200864,2
84,Uy,0.012322,0.000824879,2
84,p,0.090514,0.000599037,5
84,omega,0.00267976,0.000133387,2
84,k,0.0127848,0.000759178,2
85,Ux,0.00325375,0.000196661,2
85,Uy,0.0122573,0.000820944,2
85,p,0.0874005,0.000754694,4
85,omega,0.00264475,0.000131923,2
85,k,0.0126189,0.000750692,2
86,Ux,0.00319769,0.0001932,2
86,Uy,0.0122251,0.000818829,2
86,p,0.0856858,0.000778118,4
86,omega,0.00260965,0.000130359,2
86,k,0.0124521,0.00074204,2
87,Ux,0.00314271,0.000189813,2
87,Uy,0.0121951,0.000816651,2
87,p,0.0840656,0.000432333,5
87,omega,0.00258144,0.000128796,2
87,k,0.0122773,0.000733002,2
88,Ux,0.00308376,0.000186181,2
88,Uy,0.0121964,0.000815387,2
88,p,0.0826975,0.000743874,4
88,omega,0.00255491,0.000127285,2
88,k,0.0121021,0.00072404,2
89,Ux,0.00303193,0.000182917,2
89,Uy,0.0122037,0.00081493,2
89,p,0.0830797,0.000340497,5
89,omega,0.00252987,0.000125779,2
89,k,0.011922,0.000714989,2
90,Ux,0.00297964,0.000179716,2
90,Uy,0.0122016,0.000813023,2
90,p,0.0842312,0.000784978,4
90,omega,0.00250543,0.000124387,2
90,k,0.0117433,0.000705781,2
91,Ux,0.00293385,0.000176903,2
91,Uy,0.0122124,0.000811981,2
91,p,0.0866242,0.000372366,5
91,omega,0.00247874,0.00012281,2
