iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
116,-2773.07,5.40425,-1992.96,-3403.630956,1295.535919,98883.624
117,-2773.64,5.38899,-2006,-3404.310513,1293.920821,98867.65
118,-2793.36,5.3406,-2038.45,-3428.408235,1268.897513,98827.89875
119,-2791.15,5.32795,-2048.77,-3425.685489,1270.704632,98815.25675
120,-2789.03,5.31512,-2059.04,-3423.072772,1272.391556,98802.676
121,-2787.39,5.30163,-2069.77,-3421.047247,1273.50125,98789.53175
122,-2786.53,5.28735,-2081.38,-3419.976254,1273.65631,98775.3095
123,-2786.67,5.27271,-2094.19,-3420.12982,1272.596777,98759.61725
124,-2787.85,5.25879,-2108.29,-3421.558268,1270.252194,98742.34475
125,-2789.89,5.24709,-2123.37,-3424.042935,1266.86136,98723.87175
126,-2792.4,5.23887,-2138.97,-3427.107616,1262.890413,98704.76175
127,-2795.05,5.23327,-2154.65,-3430.347006,1258.754729,98685.55375
128,-2797.54,5.23166,-2170.05,-3433.395284,1254.799988,98666.68875
129,-2799.89,5.23225,-2185.22,-3436.274756,1251.013953,98648.1055
130,-2802.12,5.23382,-2200.27,-3439.00843,1247.383692,98629.66925
131,-2804.21,5.23538,-2215.23,-3441.570591,1243.914771,98611.34325
132,-2806.18,5.23615,-2230.18,-3443.984784,1240.593718,98593.0295
133,-2808.03,5.23548,-2245.2,-3446.250213,1237.42133,98574.63
134,-2809.79,5.23278,-2260.39,-3448.402906,1234.371659,98556.02225
135,-2811.5,5.22766,-2275.94,-3450.491384,1231.376025,98536.9735
136,-2813.24,5.21964,-2291.84,-3452.613059,1228.357176,98517.496
137,-2815.02,5.20885,-2308,-3454.780341,1225.292622,98497.7
138,-2816.85,5.19543,-2324.32,-3457.005652,1222.169944,98477.708
139,-2818.66,5.17987,-2340.68,-3459.203841,1219.07429,98457.667
140,-2820.42,5.16308,-2357.02,-3461.339273,1216.051381,98437.6505
141,-2822.11,5.14601,-2373.4,-3463.388612,1213.11447,98417.585
142,-2823.64,5.12825,-2389.78,-3465.241106,1210.37431,98397.5195
143,-2824.9,5.11347,-2406.1,-3466.766501,1207.971243,98377.5275
144,-2825.96,5.09986,-2422.41,-3468.048329,1205.81165,98357.54775
145,-2826.87,5.08867,-2438.76,-3469.149371,1203.83275,98337.519
146,-2827.69,5.08078,-2455.3,-3470.144206,1201.959965,98317.2575
147,-2828.43,5.0762,-2472.06,-3471.045095,1200.181032,98296.7265
148,-2829.01,5.07638,-2488.93,-3471.755816,1198.602269,98276.06075
149,-2829.48,5.07891,-2505.9,-3472.334665,1197.145192,98255.2725
150,-2829.84,5.08284,-2522.92,-3472.780479,1195.821058,98234.423
151,-2830.25,5.08719,-2540.16,-3473.288058,1194.435066,98213.304
152,-2830.84,5.09104,-2557.79,-3474.015524,1192.829094,98191.70725
153,-2831.67,5.09267,-2575.92,-3475.034271,1190.931748,98169.498
154,-2832.72,5.09338,-2594.58,-3476.32139,1188.765937,98146.6395
155,-2834.01,5.09275,-2613.71,-3477.900869,1186.307675,98123.20525
156,-2835.47,5.09043,-2633.2,-3479.686527,1183.653243,98099.33
157,-2837.18,5.08476,-2653.18,-3481.774331,1180.68647,98074.8545
158,-2839.14,5.07676,-2673.71,-3484.165531,1177.416209,98049.70525
159,-2841.4,5.06675,-2694.84,-3486.921769,1173.780817,98023.821
160,-2844.01,5.05515,-2716.64,-3490.104809,1169.728638,97997.116
161,-2846.9,5.04248,-2738.96,-3493.629538,1165.334678,97969.774
162,-2849.92,5.02928,-2761.58,-3497.312868,1160.782027,97942.0645
163,-2853,5.01611,-2784.39,-3501.069735,1156.155749,97914.12225
164,-2856.12,5.00355,-2807.37,-3504.876349,1151.489743,97885.97175
165,-2859.34,4.99215,-2830.54,-3508.806884,1146.699729,97857.5885
166,-2862.67,4.9822,-2853.95,-3512.873945,1141.762986,97828.91125
167,-2866.08,4.97378,-2877.58,-3517.04088,1136.736393,97799.9645
168,-2869.47,4.96679,-2901.27,-3521.185068,1131.732459,97770.94425
169,-2872.78,4.96109,-2924.88,-3525.232835,1126.834973,97742.022
170,-2876.03,4.95648,-2948.4,-3529.208438,1121.999448,97713.21
171,-2879.27,4.95232,-2971.87,-3533.172342,1117.175533,97684.45925
172,-2882.52,4.94868,-2995.23,-3537.149133,1112.338643,97655.84325
173,-2885.75,4.94531,-3018.29,-3541.101755,1107.535954,97627.59475
174,-2888.77,4.94671,-3040.72,-3544.80297,1102.974464,97600.118
175,-2891.67,4.94589,-3062.52,-3548.354465,1098.562604,97573.413
176,-2894.36,4.94383,-3083.54,-3551.647192,1094.409425,97547.6635
177,-2896.91,4.94011,-3103.92,-3554.766385,1090.429692,97522.698
178,-2899.35,4.93585,-3123.69,-3557.750166,1086.595406,97498.47975
179,-2901.72,4.93085,-3142.81,-3560.647291,1082.837565,97475.05775
180,-2904.05,4.92617,-3161.11,-3563.495808,1079.128243,97452.64025
181,-2906.52,4.9156,-3178.65,-3566.50861,1075.264676,97431.15375
182,-2908.95,4.90578,-3195,-3569.47333,1071.438974,97411.125
183,-2911.19,4.89717,-3209.83,-3572.206783,1067.854582,97392.95825
184,-2913.18,4.89113,-3223.11,-3574.637134,1064.563074,97376.69025
185,-2909.31,4.86523,-3233.13,-3569.864657,1068.484439,97364.41575
186,-2908.63,4.85001,-3242.17,-3569.013012,1068.495018,97353.34175
187,-2910.67,4.8431,-3250.58,-3571.503548,1065.153198,97343.0395
